,anchor,positive,negative
0,0,3440,1502
1,1,3663,4053
2,2,246,1025
3,3,4895,4925
4,4,2759,2653
5,5,506,3381
6,6,5520,2139
7,7,1979,1778
8,8,2975,6264
9,9,4397,2598
10,10,3355,6458
11,11,6554,4993
12,12,2570,2893
13,13,1835,4431
14,14,3250,3665
15,15,1582,6404
16,16,5865,931
17,17,3697,5645
18,18,128,6166
19,19,1932,224
20,20,5266,215
21,21,5036,3256
22,22,1321,1448
23,23,6685,6112
24,24,276,1969
25,25,3210,5390
26,26,5796,3234
27,27,6373,1070
28,28,5601,4727
29,29,3947,5255
30,30,2128,693
31,31,6098,597
32,32,4400,3620
33,33,2050,630
34,34,1200,5888
35,35,5709,2946
36,36,4522,99
37,37,373,6594
38,38,777,708
39,39,2417,1480
40,40,1888,5331
41,41,283,5998
42,42,2205,4478
43,43,1537,3178
44,44,3978,3807
45,45,1991,2864
46,46,3747,1437
47,47,4270,5096
48,48,4446,6487
49,49,6387,684
50,50,6450,6306
51,51,5394,1058
52,52,1874,5569
53,53,521,4120
54,54,936,6669
55,55,2680,3418
56,56,6625,5758
57,57,5941,2167
58,58,674,1071
59,59,5839,3147
60,60,4432,4832
61,61,4440,2266
62,62,2458,2336
63,63,2311,3601
64,64,6717,50
65,65,1391,3702
66,66,90,4493
67,67,1424,2735
68,68,2990,4031
69,69,2767,4777
70,70,1981,1822
71,71,1544,6461
72,72,3870,5296
73,73,3572,2922
74,74,537,6486
75,75,6136,4019
76,76,5636,2239
77,77,276,1656
78,78,6448,3640
79,79,3588,5202
80,80,5763,5423
81,81,4113,3223
82,82,2220,5424
83,83,796,4832
84,84,3785,1648
85,85,2186,727
86,86,4522,1177
87,87,5717,6535
88,88,59,6543
89,89,1768,2888
90,90,6093,6428
91,91,192,5294
92,92,3342,3900
93,93,301,3019
94,94,4276,2960
95,95,1275,2644
96,96,852,4736
97,97,3041,6684
98,98,4790,159
99,99,6285,2993
100,100,1964,1753
101,101,1767,6619
102,102,671,4298
103,103,348,4482
104,104,5479,3883
105,105,1613,90
106,106,6209,5180
107,107,4272,1146
108,108,4089,3033
109,109,2084,2982
110,110,1125,562
