,anchor,positive,negative
0,0,5912,1245
1,0,275,1917
2,0,2088,2834
3,0,1616,3224
4,0,3206,2817
5,0,5933,83
6,0,4958,4375
7,0,6590,3692
8,0,3156,1946
9,0,1464,4099
10,0,2342,5613
11,0,2313,1093
12,0,2644,1583
13,0,603,5644
14,0,683,2139
15,0,2300,2034
16,0,4642,1270
17,0,1427,5048
18,0,6143,4371
19,0,2159,2743
20,1,3149,3691
21,1,965,192
22,1,3586,698
23,1,3000,6561
24,1,4962,4499
25,1,4506,3976
26,1,2248,4370
27,1,1512,920
28,1,223,115
29,1,2345,2634
30,1,1607,5887
31,1,1365,4668
32,1,3639,609
33,1,2972,6398
34,1,5722,1426
35,1,4157,1809
36,1,2669,626
37,1,5879,3045
38,1,3182,5479
39,1,940,1509
40,2,5116,5758
41,2,2108,3742
42,2,5873,1229
43,2,5058,5226
44,2,750,754
45,2,2719,5241
46,2,4347,5362
47,2,6224,1866
48,2,1194,4742
49,2,1458,3193
50,2,3388,3973
51,2,4773,5849
52,2,1595,4962
53,2,5077,2754
54,2,2018,3289
55,2,1931,2408
56,2,257,5288
57,2,3261,5385
58,2,5620,1611
59,2,2667,3301
60,3,6381,5738
61,3,3222,3295
62,3,5216,2536
63,3,6407,1140
64,3,4717,3651
65,3,6649,4713
66,3,234,1676
67,3,324,3957
68,3,5410,111
69,3,1069,6022
70,3,4934,5231
71,3,2328,5032
72,3,1051,2756
73,3,533,1945
74,3,778,5904
75,3,4272,1116
76,3,1177,1867
77,3,3523,5046
78,3,4954,4000
79,3,5534,4024
80,4,6028,4284
81,4,6422,6463
82,4,1319,2329
83,4,4497,2284
84,4,1816,5255
85,4,6346,3628
86,4,4362,26
87,4,3938,501
88,4,2686,1271
89,4,1170,5765
90,4,5764,4706
91,4,2160,3868
92,4,5217,5603
93,4,2771,5329
94,4,3002,2132
95,4,62,1844
96,4,5555,637
97,4,4279,2119
98,4,1004,6628
99,4,5306,2089
100,5,34,4131
101,5,4248,4890
102,5,3482,488
103,5,5431,2659
104,5,4348,4257
105,5,5478,1352
106,5,2498,2729
107,5,6522,4617
108,5,5406,719
109,5,3696,769
110,5,2326,845
111,5,2995,1828
112,5,2688,3557
113,5,2132,5573
114,5,4640,4054
115,5,6375,1704
116,5,6064,419
117,5,1533,5526
118,5,3280,2800
119,5,5279,1121
120,6,4985,799
121,6,3500,6467
122,6,3834,5646
123,6,5077,2421
124,6,159,1398
125,6,6371,1452
126,6,1588,2388
127,6,402,634
128,6,3617,138
129,6,5879,1482
130,6,3551,5862
131,6,5499,4233
132,6,2042,3229
133,6,3539,5830
134,6,2351,6631
135,6,6058,6532
136,6,343,1581
137,6,3318,907
138,6,2183,478
139,6,2416,3555
140,7,1637,160
141,7,3010,3800
142,7,6278,2976
143,7,5480,5995
144,7,1603,1354
145,7,5930,160
146,7,3675,1135
147,7,398,3469
148,7,893,1363
149,7,6334,5962
150,7,3494,1625
151,7,2381,3222
152,7,1789,5906
153,7,1542,2264
154,7,5584,6224
155,7,5567,421
156,7,6686,108
157,7,6299,305
158,7,187,1280
159,7,737,858
160,8,6505,3119
161,8,2147,879
162,8,3080,789
163,8,3590,1047
164,8,1405,4273
165,8,369,3042
166,8,3504,3531
167,8,6660,4306
168,8,1840,3504
169,8,302,2947
170,8,2383,3533
171,8,5261,4054
172,8,4921,1980
173,8,3465,3294
174,8,1466,3947
175,8,2927,2392
176,8,6212,4694
177,8,4162,4246
178,8,2671,5778
179,8,5518,4111
180,9,2887,2890
181,9,4505,5034
182,9,530,3227
183,9,3157,2201
184,9,3756,5543
185,9,889,1644
186,9,3256,5003
187,9,4271,4229
188,9,1918,1061
189,9,243,210
190,9,317,2612
191,9,376,2065
192,9,3047,4602
193,9,4884,6109
194,9,5304,2062
195,9,710,1063
196,9,72,1717
197,9,1729,5285
198,9,624,4920
199,9,3065,4090
200,10,1421,3124
201,10,5664,1926
202,10,3751,5813
203,10,2540,2912
204,10,2079,6392
205,10,5707,1809
206,10,6378,5222
207,10,6517,1223
208,10,2755,1483
209,10,4511,1982
210,10,3370,313
211,10,2245,696
212,10,1487,993
213,10,3498,3868
214,10,2836,5957
215,10,5517,2528
216,10,1924,1225
217,10,5962,6120
218,10,86,2506
219,10,728,3675
220,11,1204,5181
221,11,374,4402
222,11,4334,1409
223,11,3444,3169
224,11,1253,4524
225,11,6193,3112
226,11,1593,3839
227,11,4422,3101
228,11,6711,988
229,11,2622,3686
230,11,5118,4937
231,11,56,6632
232,11,3773,5634
233,11,5960,141
234,11,663,5357
235,11,818,3339
236,11,473,4910
237,11,2641,894
238,11,5761,2980
239,11,3593,6615
240,12,1574,2082
241,12,2676,3444
242,12,6217,2687
243,12,4723,2237
244,12,4093,6385
245,12,1196,1285
246,12,6107,4207
247,12,3390,2500
248,12,6687,3533
249,12,3718,1208
250,12,5396,1770
251,12,4919,3326
252,12,3262,414
253,12,660,2455
254,12,2585,459
255,12,4971,2844
256,12,4927,5498
257,12,4121,6219
258,12,5987,6074
259,12,1985,2142
260,13,6682,4854
261,13,4425,4010
262,13,6561,6246
263,13,6444,6118
264,13,2383,6611
265,13,3718,1505
266,13,4017,4871
267,13,2403,3130
268,13,60,2239
269,13,355,5736
270,13,3601,5196
271,13,6498,4276
272,13,1999,5513
273,13,4329,1988
274,13,2447,3251
275,13,625,907
276,13,4319,1135
277,13,35,2024
278,13,4274,616
279,13,4255,70
280,14,3465,1237
281,14,3697,1687
282,14,5418,1543
283,14,2952,402
284,14,4251,4990
285,14,668,2170
286,14,2879,6028
287,14,3986,2054
288,14,4782,2846
289,14,5778,5400
290,14,3188,291
291,14,3264,4188
292,14,6502,6563
